Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count
327,Morgan Stanley,BDC Finance/Operations Executive Director,trade,42,Fintech
328,Morgan Stanley,"Branch Manager, Non Producing",trade,24,Fintech
329,Morgan Stanley,Client Service Associate*,trade,21,Fintech
330,Morgan Stanley,Client Service Associate*,trade,21,Fintech
331,Morgan Stanley,Human Resources Risk Manager,Blockchain,26,Fintech
332,Morgan Stanley,IED Market Risk - VP,Blockchain,43,Fintech
333,Morgan Stanley,Administrative Assistant,Non-FinTech,11,Nonfintech
334,Morgan Stanley,XVA Market Risk Manager ÃÂ Associate,Blockchain,66,Fintech
335,Morgan Stanley,Full Stack Developer 3126530,Blockchain,74,Fintech
336,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
337,Morgan Stanley,Credit Research - Healthcare Vice President,trade,26,Fintech
338,Morgan Stanley,Investment Platforms Project Manager,trade,37,Fintech
339,Morgan Stanley,Credit Desk Strat. / Quant - Associate,trade,16,Fintech
340,Morgan Stanley,Bank Compliance Risk Assessment Officer,Blockchain,36,Fintech
341,Morgan Stanley,Residential Mortgage Compliance Lead,trade,41,Fintech
342,Morgan Stanley,Wealth Management Analyst,trade,17,Fintech
343,Morgan Stanley,Registered Associate,trade,20,Fintech
344,Morgan Stanley,Registered Associate,trade,20,Fintech
345,Morgan Stanley,Trading Operations Risk - Vice President,trade,41,Fintech
346,Morgan Stanley,Client Service Associate*,trade,21,Fintech
347,Morgan Stanley,"Equity Research ÃÂ Internet & Media, Analyst/Associate ÃÂ Hong Kong",trade,22,Fintech
348,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
349,Morgan Stanley,"PWM Investment Counsellor, Executive Director, Singapore",trade,47,Fintech
350,Morgan Stanley,Senior Registered Associate,trade,20,Fintech
351,Morgan Stanley,Registered Associate,trade,20,Fintech
352,Morgan Stanley,Business Service Manager,Blockchain,24,Fintech
353,Morgan Stanley,Registered Associate,trade,20,Fintech
354,Morgan Stanley,Registered Associate - Great Lakes*,trade,20,Fintech
355,Morgan Stanley,ISDA & Counterparty Risk officer ÃÂ Business Unit Risk Management (FID),Blockchain,35,Fintech
356,Morgan Stanley,"BRM, XVA IMM Strat, Vice President",trade,20,Fintech
357,Morgan Stanley,Product Data Operations Lead - VP/ED,trade,68,Fintech
358,Morgan Stanley,"Manager, Treasury Chief Operating Officer Team",trade,25,Fintech
359,Morgan Stanley,PWM Registered Associate,trade,15,Fintech
360,Morgan Stanley,Advisor Platforms Project Manager,trade,38,Fintech
361,Morgan Stanley,"Vice President, Technical Lead",Blockchain,17,Fintech
362,Morgan Stanley,Internal Audit - Capital Markets- Senior Manager,Blockchain,37,Fintech
363,Morgan Stanley,Investment Platforms Project Manager,trade,37,Fintech
364,Morgan Stanley,Investment Platforms Project Manager,trade,37,Fintech
365,Morgan Stanley,Advisor Desktop Business Analyst,Security,37,Fintech
366,Morgan Stanley,Project Manager,trade,25,Fintech
367,Morgan Stanley,Engagement and Adoption Lead ÃÂ WM Investment Platforms,trade,49,Fintech
